file,line,category,severity,match,context
.obsidian-qidocs/community-plugins.json,2,markdown_vault,current_marker,\bObsidian\b,"""table-editor-obsidian"","
.obsidian-qidocs/community-plugins.json,7,markdown_vault,current_marker,\bObsidian\b,"""obsidian-enhancing-export"","
.obsidian-qidocs/community-plugins.json,12,markdown_vault,current_marker,\bObsidian\b,"""obsidian-icon-folder"","
.obsidian-qidocs/community-plugins.json,13,markdown_vault,current_marker,\bObsidian\b,"""obsidian-importer"","
.obsidian-qidocs/community-plugins.json,14,markdown_vault,current_marker,\bObsidian\b,"""obsidian-linter"","
.obsidian-qidocs/community-plugins.json,15,markdown_vault,current_marker,\bObsidian\b,"""obsidian-mind-map"","
.obsidian-qidocs/community-plugins.json,17,markdown_vault,current_marker,\bObsidian\b,"""obsidian-markmind"","
.obsidian-qidocs/community-plugins.json,19,markdown_vault,current_marker,\bObsidian\b,"""obsidian-pandoc"","
.obsidian-qidocs/community-plugins.json,22,markdown_vault,current_marker,\bObsidian\b,"""obsidian-style-settings"","
.obsidian-qidocs/community-plugins.json,23,markdown_vault,current_marker,\bObsidian\b,"""obsidian-tasks-plugin"","
.obsidian-qidocs/community-plugins.json,24,markdown_vault,current_marker,\bObsidian\b,"""templater-obsidian"","
.obsidian-qidocs/plugins/dataview/manifest.json,9,markdown_vault,current_marker,\bObsidian\b,"""helpUrl"": ""https://blacksmithgu.github.io/obsidian-dataview/"","
.obsidian-qidocs/plugins/local-graphql/manifest.json,6,markdown_vault,current_marker,\bObsidian\b,"""description"": ""Export Obsidian data as a local GraphQL server."","
.obsidian-qidocs/plugins/obsidian-enhancing-export/manifest.json,2,markdown_vault,current_marker,\bObsidian\b,"""id"": ""obsidian-enhancing-export"","
.obsidian-qidocs/plugins/obsidian-enhancing-export/manifest.json,6,markdown_vault,current_marker,\bObsidian\b,"""description"": ""This is a enhancing export plugin for Obsidian. It allows to export to formats like Html, DOCX, ePub and PDF or Markdown(Hugo) etc."","
.obsidian-qidocs/plugins/obsidian-icon-folder/data.json,4,markdown_vault,current_marker,\bObsidian\b,"""iconPacksPath"": "".obsidian/icons"","
.obsidian-qidocs/plugins/obsidian-icon-folder/manifest.json,2,markdown_vault,current_marker,\bObsidian\b,"""id"": ""obsidian-icon-folder"","
.obsidian-qidocs/plugins/obsidian-icon-folder/manifest.json,6,markdown_vault,current_marker,\bObsidian\b,"""description"": ""Add icons to anything you desire in Obsidian, including files, folders, and text."","
.obsidian-qidocs/plugins/obsidian-importer/manifest.json,2,markdown_vault,current_marker,\bObsidian\b,"""id"": ""obsidian-importer"","
.obsidian-qidocs/plugins/obsidian-importer/manifest.json,7,markdown_vault,current_marker,\bObsidian\b,"""author"": ""Obsidian"","
.obsidian-qidocs/plugins/obsidian-importer/manifest.json,8,markdown_vault,current_marker,\bObsidian\b,"""authorUrl"": ""https://obsidian.md"","
.obsidian-qidocs/plugins/obsidian-linter/manifest.json,2,markdown_vault,current_marker,\bObsidian\b,"""id"": ""obsidian-linter"","
.obsidian-qidocs/plugins/obsidian-linter/manifest.json,9,markdown_vault,current_marker,\bObsidian\b,"""helpUrl"": ""https://platers.github.io/obsidian-linter/"","
.obsidian-qidocs/plugins/obsidian-markmind/manifest.json,2,markdown_vault,current_marker,\bObsidian\b,"""id"": ""obsidian-markmind"","
.obsidian-qidocs/plugins/obsidian-markmind/manifest.json,6,markdown_vault,current_marker,\bObsidian\b,"""description"": ""This is a mindmap , outline tool for obsidian."","
.obsidian-qidocs/plugins/obsidian-markmind/manifest.json,8,markdown_vault,current_marker,\bObsidian\b,"""authorUrl"": ""https://github.com/MarkMindCkm/obsidian-markmind"","
