file,line,category,severity,match,context
00_audit/QiAccess_Start_Current_State_Audit.md,1,qiaccess_start,current_marker,\bQiAccess Start\b,# QiAccess Start Current State Audit
00_audit/QiAccess_Start_Current_State_Audit.md,5,qiaccess_start,current_marker,\bQiAccess Start\b,"Audit scope: current QiAccess Start app, adjacent legacy surfaces in this repo, deployment clues, and qiserver verification attempts."
00_audit/QiAccess_Start_Current_State_Audit.md,5,qiserver_runtime,current_marker,\bqiserver\b,"Audit scope: current QiAccess Start app, adjacent legacy surfaces in this repo, deployment clues, and qiserver verification attempts."
00_audit/QiAccess_Start_Current_State_Audit.md,120,qiserver_runtime,current_marker,\bqiserver\b,- qiserver: `http://qiserver`
00_audit/QiAccess_Start_Current_State_Audit.md,125,current_services,current_marker,\bOllama\b,- Ollama
00_audit/QiAccess_Start_Current_State_Audit.md,126,current_services,current_marker,\bOpen WebUI\b,- Open WebUI
00_audit/QiAccess_Start_Current_State_Audit.md,128,current_services,current_marker,\bPortainer\b,- Portainer
00_audit/QiAccess_Start_Current_State_Audit.md,140,current_services,current_marker,\bPaperless\b,- Paperless
00_audit/QiAccess_Start_Current_State_Audit.md,141,current_services,current_marker,\bn8n\b,- Qi Queue / n8n-like intake plane
00_audit/QiAccess_Start_Current_State_Audit.md,145,current_services,current_marker,\bWiki\.js\b,- Wiki.js
00_audit/QiAccess_Start_Current_State_Audit.md,147,current_services,current_marker,\bPaperless\b,- Paperless as first-class ingestion target
00_audit/QiAccess_Start_Current_State_Audit.md,158,qiserver_runtime,current_marker,\bqiserver\b,- Legacy qiserver sync path: `run_copy.bat` copies `local/config/*` to `/srv/qios/stacks/_qiaccess_start/config`
00_audit/QiAccess_Start_Current_State_Audit.md,158,qiserver_runtime,current_marker,/srv/qios,- Legacy qiserver sync path: `run_copy.bat` copies `local/config/*` to `/srv/qios/stacks/_qiaccess_start/config`
00_audit/QiAccess_Start_Current_State_Audit.md,158,qiserver_runtime,current_marker,/srv/qios/stacks,- Legacy qiserver sync path: `run_copy.bat` copies `local/config/*` to `/srv/qios/stacks/_qiaccess_start/config`
00_audit/QiAccess_Start_Current_State_Audit.md,165,qiserver_runtime,current_marker,\bqiserver\b,- Old Homepage stack appears intended to run on qiserver from `/srv/qios/stacks/_qiaccess_start`.
00_audit/QiAccess_Start_Current_State_Audit.md,165,qiserver_runtime,current_marker,/srv/qios,- Old Homepage stack appears intended to run on qiserver from `/srv/qios/stacks/_qiaccess_start`.
00_audit/QiAccess_Start_Current_State_Audit.md,165,qiserver_runtime,current_marker,/srv/qios/stacks,- Old Homepage stack appears intended to run on qiserver from `/srv/qios/stacks/_qiaccess_start`.
00_audit/QiAccess_Start_Current_State_Audit.md,170,qiserver_runtime,current_marker,\bqiserver\b,- Exact restart command used on qiserver
00_audit/QiAccess_Start_Current_State_Audit.md,250,qiaccess_start,current_marker,\bfront door\b,"- QiAccess is treated as a front door, not a system of record."
00_audit/QiAccess_Start_Current_State_Audit.md,256,qiserver_runtime,current_marker,\bqiserver\b,"- qiserver, Open WebUI, Ollama, Portainer, Cockpit, and Google Drive are already part of the current mental model."
00_audit/QiAccess_Start_Current_State_Audit.md,256,current_services,current_marker,\bOllama\b,"- qiserver, Open WebUI, Ollama, Portainer, Cockpit, and Google Drive are already part of the current mental model."
00_audit/QiAccess_Start_Current_State_Audit.md,256,current_services,current_marker,\bOpen WebUI\b,"- qiserver, Open WebUI, Ollama, Portainer, Cockpit, and Google Drive are already part of the current mental model."
00_audit/QiAccess_Start_Current_State_Audit.md,256,current_services,current_marker,\bPortainer\b,"- qiserver, Open WebUI, Ollama, Portainer, Cockpit, and Google Drive are already part of the current mental model."
00_audit/QiAccess_Start_Current_State_Audit.md,287,current_services,current_marker,\bPaperless\b,- No explicit Paperless intake flow
00_audit/QiAccess_Start_Current_State_Audit.md,335,qiserver_runtime,current_marker,\bqiserver\b,- `run_copy.bat` is a real sync script targeting qiserver
00_audit/QiAccess_Start_Current_State_Audit.md,341,qiserver_runtime,current_marker,\bqiserver\b,- qiserver Homepage stack path implied by `run_copy.bat`
00_audit/QiAccess_Start_Current_State_Audit.md,389,current_services,current_marker,\bPaperless\b,- Paperless consume target
00_audit/QiAccess_Start_Current_State_Audit.md,394,qiserver_runtime,current_marker,\bqiserver\b,"- explicit qiserver, Paperless, Open WebUI, Portainer, Cockpit, storage, diagnostics surfaces"
00_audit/QiAccess_Start_Current_State_Audit.md,394,current_services,current_marker,\bPaperless\b,"- explicit qiserver, Paperless, Open WebUI, Portainer, Cockpit, storage, diagnostics surfaces"
00_audit/QiAccess_Start_Current_State_Audit.md,394,current_services,current_marker,\bOpen WebUI\b,"- explicit qiserver, Paperless, Open WebUI, Portainer, Cockpit, storage, diagnostics surfaces"
00_audit/QiAccess_Start_Current_State_Audit.md,394,current_services,current_marker,\bPortainer\b,"- explicit qiserver, Paperless, Open WebUI, Portainer, Cockpit, storage, diagnostics surfaces"
00_audit/QiAccess_Start_Current_State_Audit.md,397,current_services,current_marker,\bWiki\.js\b,"- explicit Wiki.js linking, not generic note textarea only"
00_audit/QiAccess_Start_Current_State_Audit.md,407,current_services,current_marker,\bPaperless\b,- first real pipeline should be Capture -> Paperless consume / QiNexus inbox / note timeline
00_audit/QiAccess_Start_Current_State_Audit.md,414,qiserver_runtime,current_marker,\bqiserver\b,- It appears to be tied to a real qiserver stack path.
00_audit/QiAccess_Start_Current_State_Audit.md,417,qiserver_runtime,current_marker,/srv/qios,"- It targets `/srv/qios/stacks/_qiaccess_start/config`, which may still matter for live operations."
00_audit/QiAccess_Start_Current_State_Audit.md,417,qiserver_runtime,current_marker,/srv/qios/stacks,"- It targets `/srv/qios/stacks/_qiaccess_start/config`, which may still matter for live operations."
