scan_id,rel_path,abs_path,name,ext,size,mtime_ns,ctime_ns,inode,content_hash,hash_algo,scanned_at
SCAN-20260518-132015,30_drafts/from_10_flow_10_workbench/ideas/#Work Professional projects and tasks.md,G:\My Drive\QiNexus\10_workbench\30_drafts\from_10_flow_10_workbench\ideas\#Work Professional projects and tasks.md,#Work Professional projects and tasks.md,.md,431,1764319890000000000,1773906669978000000,76922,3929c564c82dbb1e22a673e0cbf0662a4ff2e7f3b3ea0a21bff225206ae08431,blake3,2026-05-18T18:20:15+00:00
SCAN-20260518-132015,30_drafts/from_10_flow_10_workbench/ideas/0-1 Years.md,G:\My Drive\QiNexus\10_workbench\30_drafts\from_10_flow_10_workbench\ideas\0-1 Years.md,0-1 Years.md,.md,367,1764319890000000000,1773906670066000000,76923,7e0cee4545babb49f2864ff07bbb087036de62ca6fa5954d3166a0ad0b4b2750,blake3,2026-05-18T18:20:15+00:00
SCAN-20260518-132015,30_drafts/from_10_flow_10_workbench/ideas/00_INDEX.md,G:\My Drive\QiNexus\10_workbench\30_drafts\from_10_flow_10_workbench\ideas\00_INDEX.md,00_INDEX.md,.md,3077,1764422990000000000,1773906670125000000,76924,f36ae86aa8224d00b716476192030b6defac79839071b1e2e64a2429b9bb1ac6,blake3,2026-05-18T18:20:15+00:00
SCAN-20260518-132015,30_drafts/from_10_flow_10_workbench/ideas/01_Projection.md,G:\My Drive\QiNexus\10_workbench\30_drafts\from_10_flow_10_workbench\ideas\01_Projection.md,01_Projection.md,.md,289,1764319926000000000,1773906670180000000,76925,32aeb82c3914cdc3be410499888a391292f9afacd5a21d9a5267158bea713ada,blake3,2026-05-18T18:20:15+00:00
SCAN-20260518-132015,30_drafts/from_10_flow_10_workbench/ideas/03_Regulatory_Complaint_IURC.md,G:\My Drive\QiNexus\10_workbench\30_drafts\from_10_flow_10_workbench\ideas\03_Regulatory_Complaint_IURC.md,03_Regulatory_Complaint_IURC.md,.md,1493,1764422990000000000,1773906670240000000,76926,8f803b9535eb9c661c7fae5e56b0889614fd96152a5164f814eddaa302f0890d,blake3,2026-05-18T18:20:15+00:00
SCAN-20260518-132015,30_drafts/from_10_flow_10_workbench/ideas/04_Gina_Memory_Spec.md,G:\My Drive\QiNexus\10_workbench\30_drafts\from_10_flow_10_workbench\ideas\04_Gina_Memory_Spec.md,04_Gina_Memory_Spec.md,.md,10146,1763533440000000000,1773906670308000000,76927,77c1185b7a03c0b7bb264efb2bb7495c545f3e76c3d1c553d4a01f9bc1d748f8,blake3,2026-05-18T18:20:15+00:00
SCAN-20260518-132015,30_drafts/from_10_flow_10_workbench/ideas/05010 20250303.md,G:\My Drive\QiNexus\10_workbench\30_drafts\from_10_flow_10_workbench\ideas\05010 20250303.md,05010 20250303.md,.md,9298,1764319890000000000,1773906670369000000,76928,a6fa7cfd42e3806f97fe564bbc39cc9e571ca04afebf9f033b316d09ed3f7c1f,blake3,2026-05-18T18:20:15+00:00
SCAN-20260518-132015,30_drafts/from_10_flow_10_workbench/ideas/06100.md,G:\My Drive\QiNexus\10_workbench\30_drafts\from_10_flow_10_workbench\ideas\06100.md,06100.md,.md,810,1764319890000000000,1773906670473000000,76929,304f127c047f3553f1305ad92269a893d184ae704a56c20d0442c45e400eb805,blake3,2026-05-18T18:20:15+00:00
SCAN-20260518-132015,30_drafts/from_10_flow_10_workbench/ideas/1-3 Years.md,G:\My Drive\QiNexus\10_workbench\30_drafts\from_10_flow_10_workbench\ideas\1-3 Years.md,1-3 Years.md,.md,405,1764319890000000000,1773906670567000000,76930,c19997ddb582c075dd032966bec0a07628d0400e9f4c93211c9f6ac9caf579f8,blake3,2026-05-18T18:20:15+00:00
SCAN-20260518-132015,30_drafts/from_10_flow_10_workbench/ideas/1.30.10_Client-OS_Template.md,G:\My Drive\QiNexus\10_workbench\30_drafts\from_10_flow_10_workbench\ideas\1.30.10_Client-OS_Template.md,1.30.10_Client-OS_Template.md,.md,9785,1764319922000000000,1773906670648000000,76931,d36cc1d4529b171b14987ef37171f949f9f61cdd193eb75e694cbfae10edaa48,blake3,2026-05-18T18:20:15+00:00
SCAN-20260518-132015,30_drafts/from_10_flow_10_workbench/ideas/10 Database Schema Overview.md,G:\My Drive\QiNexus\10_workbench\30_drafts\from_10_flow_10_workbench\ideas\10 Database Schema Overview.md,10 Database Schema Overview.md,.md,1840,1764319920000000000,1773906670815000000,76932,44ba438dd3b014a455ae3351511b5ba6dc1117823112ba89986dff3ce79d3c5b,blake3,2026-05-18T18:20:15+00:00
