Category,Feature,BASIC ($99),TAX+ ($199),GROWTH ($399),UNLIMITED ($999),Limits,Overage Fee,Order
BOOKS,Monthly Bookkeeping,TRUE,TRUE,TRUE,TRUE,"Core bookkeeping each month","N/A",100
BOOKS,Transaction Categorization (Monthly),TRUE,TRUE,TRUE,TRUE,"200/300/500/Unltd (by tier)","$0.49 per extra transaction",101
BOOKS,Reconciliation of Accounts (Bank/Credit),TRUE,TRUE,TRUE,TRUE,"3/7/10/Unltd accounts (by tier)","$15/account over limit",102
BOOKS,Profit & Loss Statements,TRUE,TRUE,TRUE,TRUE,"Monthly P&L","$5 per extra special run",103
BOOKS,Balance Sheet,TRUE,TRUE,TRUE,TRUE,"Monthly balance sheet","$5 per extra special run",104
BOOKS,Year-End Tax Summary,TRUE,TRUE,TRUE,TRUE,"Annual tax summary package","$50 per extra year",105
BOOKS,Receipt Management & Matching,ADD-ON,TRUE,TRUE,TRUE,"50/150/500/Unltd (by tier)","$0.49 per extra receipt",106
BOOKS,Quarterly Financial Review,ADD-ON,TRUE,TRUE,TRUE,"Quarterly review sessions","$50 per extra review",107

TAX,Simple 1040 Personal Taxes,ADD-ON,TRUE,TRUE,TRUE,"0/1/1/Unltd returns (by tier)","From $149 if outside plan",200
TAX,Schedule C Small Business,ADD-ON,TRUE,TRUE,TRUE,"0/1/2/Unltd (by tier)","$249 per extra Schedule C",201
TAX,Schedule A/B/SE,ADD-ON,TRUE,TRUE,TRUE,"Up to 1 included","$35 each additional schedule",202
TAX,One Business Filing,ADD-ON,ADD-ON,TRUE,TRUE,"Sole Prop / LLC","$150 per additional entity",203
TAX,Multi-State Filing,ADD-ON,ADD-ON,TRUE,TRUE,"Up to 2 states included","$50 per extra state",204
TAX,Depreciation Schedules,ADD-ON,ADD-ON,TRUE,TRUE,"Up to 5 items","$10 per extra asset",205
TAX,Tax Amendments,ADD-ON,ADD-ON,TRUE,TRUE,"1 included per year in Growth+","$99 each additional",206
TAX,IRS Letters Support,ADD-ON,ADD-ON,ADD-ON,TRUE,"Response drafting & support","$49 each outside Unlimited",207
